SAT_NAME,AMSAT_NAME
AO-123,AO-123
AO-27,AO-27
AO-7,AO-07
AO-73,AO-73
AO-91,AO-91
ARISS,ISS
CAS-3H,LILACSAT-2
ESEO,ESEO
FO-29,FO-29
HO-113,HO-113
IO-86,IO-86
JO-97,JO-97
NO-44,NO-44
PO-101,PO-101
QO-100,QO-100
RS-44,RS-44
SO-50,SO-50
SONATE,SONATE-2
TAURUS,Taurus 1
TEV2-1,TEVEL2-1
TEV2-2,TEVEL2-2
TEV2-3,TEVEL2-3
TEV2-4,TEVEL2-4
TEV2-5,TEVEL2-5
TEV2-6,TEVEL2-6
TEV2-7,TEVEL2-7
TEV2-8,TEVEL2-8
TEV2-9,TEVEL2-9
TO-108,TO-108
